date,open,highest,lowest,close,change,change_percentage,volume
24/11/2008,4127.0,4127.0,3853.0,3853.0,-274.0,-6.63,199520
21/11/2008,3928.0,4102.0,3928.0,4028.0,99.0,2.53,76640
20/11/2008,4127.0,4127.0,4028.0,4102.0,-25.0,-0.6,82770
19/11/2008,4251.0,4251.0,4226.0,4226.0,-25.0,-0.58,60140
18/11/2008,4152.0,4251.0,4152.0,4251.0,99.0,2.4,17960
17/11/2008,4202.0,4301.0,4202.0,4226.0,25.0,0.59,37750
14/11/2008,4425.0,4425.0,4301.0,4301.0,-124.0,-2.81,42780
13/11/2008,4028.0,4301.0,4028.0,4301.0,274.0,6.79,104750
12/11/2008,4052.0,4102.0,4052.0,4102.0,50.0,1.23,296900
11/11/2008,4276.0,4301.0,4251.0,4251.0,-25.0,-0.58,71930
10/11/2008,4475.0,4475.0,4400.0,4475.0,0.0,0.0,142860
07/11/2008,4376.0,4575.0,4351.0,4376.0,0.0,0.0,294620
06/11/2008,4425.0,4599.0,4301.0,4575.0,149.0,3.37,507500
05/11/2008,4425.0,4425.0,4425.0,4425.0,0.0,0.0,264630
04/11/2008,4028.0,4226.0,4028.0,4226.0,199.0,4.94,348370
03/11/2008,3928.0,4052.0,3878.0,4028.0,99.0,2.53,233530
31/10/2008,3878.0,3878.0,3829.0,3878.0,0.0,0.0,159170
30/10/2008,3679.0,3704.0,3580.0,3704.0,25.0,0.68,282200
29/10/2008,3530.0,3530.0,3530.0,3530.0,0.0,0.0,123380
28/10/2008,3306.0,3381.0,3306.0,3381.0,75.0,2.26,163050
27/10/2008,3481.0,3505.0,3481.0,3481.0,0.0,0.0,261440
24/10/2008,3655.0,3729.0,3655.0,3655.0,0.0,0.0,199000
23/10/2008,3829.0,3878.0,3829.0,3829.0,0.0,0.0,396910
22/10/2008,4028.0,4102.0,3978.0,4028.0,0.0,0.0,172550
21/10/2008,3978.0,4127.0,3978.0,4127.0,149.0,3.75,85780
20/10/2008,4052.0,4152.0,3903.0,4052.0,0.0,0.0,145960
17/10/2008,4127.0,4226.0,4052.0,4052.0,-75.0,-1.81,378900
16/10/2008,4251.0,4351.0,4251.0,4251.0,0.0,0.0,292070
15/10/2008,4525.0,4525.0,4425.0,4450.0,-75.0,-1.65,309380
14/10/2008,4450.0,4450.0,4450.0,4450.0,0.0,0.0,200260
13/10/2008,4276.0,4326.0,4251.0,4251.0,-25.0,-0.58,199420
10/10/2008,4450.0,4525.0,4450.0,4450.0,0.0,0.0,223960
09/10/2008,4525.0,4674.0,4475.0,4674.0,149.0,3.3,189440
08/10/2008,4425.0,4525.0,4425.0,4475.0,50.0,1.12,269270
07/10/2008,4425.0,4525.0,4425.0,4475.0,50.0,1.12,299450
06/10/2008,4475.0,4649.0,4475.0,4649.0,174.0,3.89,263740
03/10/2008,4674.0,4674.0,4624.0,4674.0,0.0,0.0,176320
02/10/2008,4724.0,4848.0,4674.0,4699.0,-25.0,-0.53,241750
01/10/2008,4724.0,4724.0,4599.0,4724.0,0.0,0.0,182630
30/09/2008,4500.0,4575.0,4500.0,4500.0,0.0,0.0,459930
29/09/2008,4848.0,4873.0,4674.0,4724.0,-124.0,-2.56,36350
26/09/2008,4848.0,4848.0,4724.0,4848.0,0.0,0.0,155290
25/09/2008,4599.0,4724.0,4599.0,4624.0,25.0,0.54,402720
24/09/2008,4898.0,4898.0,4823.0,4823.0,-75.0,-1.52,84760
