date,open,highest,lowest,close,change,change_percentage,volume
20/11/2019,9997.0,9997.0,9832.0,9832.0,-165.0,-1.65,1506966
19/11/2019,9914.0,9955.0,9873.0,9955.0,41.0,0.41,1397340
18/11/2019,10038.0,10079.0,9873.0,9914.0,-123.0,-1.23,2762657
15/11/2019,10038.0,10120.0,10038.0,10038.0,0.0,0.0,1701200
14/11/2019,10285.0,10326.0,10079.0,10079.0,-206.0,-2.0,2289600
13/11/2019,10161.0,10408.0,10161.0,10285.0,123.0,1.21,3572700
12/11/2019,10161.0,10161.0,10079.0,10161.0,0.0,0.0,1583600
11/11/2019,10202.0,10243.0,10161.0,10161.0,-41.0,-0.4,1748643
08/11/2019,10243.0,10326.0,10120.0,10202.0,-41.0,-0.4,3919083
07/11/2019,10120.0,10161.0,10079.0,10120.0,0.0,0.0,2134200
06/11/2019,10202.0,10202.0,10079.0,10120.0,-82.0,-0.81,2505088
05/11/2019,10161.0,10243.0,10120.0,10120.0,-41.0,-0.4,3598800
04/11/2019,9955.0,10161.0,9955.0,10120.0,165.0,1.65,3966600
01/11/2019,9750.0,9997.0,9750.0,9955.0,206.0,2.11,1906100
31/10/2019,9997.0,10038.0,9914.0,9914.0,-82.0,-0.82,1441765
30/10/2019,9791.0,10038.0,9709.0,9997.0,206.0,2.1,68199201
29/10/2019,9791.0,9832.0,9709.0,9750.0,-41.0,-0.42,1701400
28/10/2019,9709.0,9832.0,9709.0,9750.0,41.0,0.42,1239360
25/10/2019,9709.0,9709.0,9626.0,9709.0,0.0,0.0,1104590
24/10/2019,9709.0,9709.0,9626.0,9709.0,0.0,0.0,920000
23/10/2019,9667.0,9750.0,9667.0,9667.0,0.0,0.0,1080400
22/10/2019,9626.0,9667.0,9585.0,9667.0,41.0,0.43,1704380
21/10/2019,9873.0,9955.0,9626.0,9626.0,-247.0,-2.5,2785500
18/10/2019,10079.0,10079.0,9873.0,9914.0,-165.0,-1.63,1864754
17/10/2019,9997.0,10038.0,9914.0,10038.0,41.0,0.41,1914500
16/10/2019,10079.0,10120.0,10038.0,10038.0,-41.0,-0.41,2071970
15/10/2019,10079.0,10120.0,9997.0,10038.0,-41.0,-0.41,3441972
14/10/2019,9873.0,10079.0,9873.0,10079.0,206.0,2.08,3714758
